xA;yA;zA;xB;yB;zB;xC;yC;zC
0;92.692;0;-4.99617;92.5999;-0.0186875;4.99617;92.5999;0.0186875
0;92.6999;0;-4.99586;92.6005;-0.058716;4.99586;92.6005;0.058716
0;92.7079;0;-4.99523;92.6013;-0.0987408;4.99523;92.6013;0.0987408
0;92.7158;0;-4.99427;92.6021;-0.138759;4.99427;92.6021;0.138759
0;92.7237;0;-4.993;92.603;-0.178769;4.993;92.603;0.178769
0;92.7316;0;-4.99141;92.6041;-0.218767;4.99141;92.6041;0.218767
0;92.7395;0;-4.9895;92.6053;-0.258751;4.9895;92.6053;0.258751
0;92.7473;0;-4.98726;92.6066;-0.298718;4.98726;92.6066;0.298718
0;92.7552;0;-4.98471;92.6081;-0.338667;4.98471;92.6081;0.338667
0;92.763;0;-4.98184;92.6097;-0.378593;4.98184;92.6097;0.378593
0;92.7708;0;-4.97865;92.6115;-0.418495;4.97865;92.6115;0.418495
0;92.7787;0;-4.97513;92.6135;-0.458371;4.97513;92.6135;0.458371
0;92.7864;0;-4.9713;92.6156;-0.498217;4.9713;92.6156;0.498217
0;92.7942;0;-4.96715;92.6179;-0.538031;4.96715;92.6179;0.538031
0;92.802;0;-4.96268;92.6204;-0.57781;4.96268;92.6204;0.57781
0;92.8097;0;-4.95789;92.623;-0.617552;4.95789;92.623;0.617552
0;92.8174;0;-4.95279;92.6259;-0.657255;4.95279;92.6259;0.657255
0;92.8251;0;-4.94736;92.6289;-0.696916;4.94736;92.6289;0.696916
0;92.8328;0;-4.94162;92.6322;-0.736531;4.94162;92.6322;0.736531
0;92.8404;0;-4.93556;92.6356;-0.7761;4.93556;92.6356;0.7761
0;92.8481;0;-4.92919;92.6393;-0.815618;4.92919;92.6393;0.815618
0;92.8557;0;-4.92249;92.6432;-0.855085;4.92249;92.6432;0.855085
0;92.8633;0;-4.91548;92.6473;-0.894496;4.91548;92.6473;0.894496
0;92.8708;0;-4.90816;92.6516;-0.93385;4.90816;92.6516;0.93385
0;92.8784;0;-4.90052;92.6561;-0.973144;4.90052;92.6561;0.973144
0;92.8859;0;-4.89257;92.6609;-1.01238;4.89257;92.6609;1.01238
0;92.8934;0;-4.8843;92.6659;-1.05154;4.8843;92.6659;1.05154
0;92.9009;0;-4.87572;92.6711;-1.09064;4.87572;92.6711;1.09064
0;92.9083;0;-4.86682;92.6766;-1.12967;4.86682;92.6766;1.12967
0;92.9158;0;-4.85762;92.6823;-1.16863;4.85762;92.6823;1.16863
0;92.9232;0;-4.8481;92.6882;-1.20751;4.8481;92.6882;1.20751
0;92.9306;0;-4.83827;92.6944;-1.24631;4.83827;92.6944;1.24631
0;92.9379;0;-4.82813;92.7008;-1.28504;4.82813;92.7008;1.28504
0;92.9453;0;-4.81768;92.7075;-1.32368;4.81768;92.7075;1.32368
0;92.9526;0;-4.80692;92.7144;-1.36223;4.80692;92.7144;1.36223
0;92.9598;0;-4.79585;92.7216;-1.4007;4.79585;92.7216;1.4007
0;92.9671;0;-4.78447;92.729;-1.43908;4.78447;92.729;1.43908
0;92.9743;0;-4.77279;92.7366;-1.47737;4.77279;92.7366;1.47737
0;92.9816;0;-4.7608;92.7445;-1.51556;4.7608;92.7445;1.51556
0;92.9887;0;-4.7485;92.7526;-1.55366;4.7485;92.7526;1.55366
0;92.9959;0;-4.7359;92.761;-1.59165;4.7359;92.761;1.59165
0;93.003;0;-4.723;92.7696;-1.62954;4.723;92.7696;1.62954
0;93.0102;0;-4.70979;92.7784;-1.66733;4.70979;92.7784;1.66733
0;93.0172;0;-4.69628;92.7875;-1.70501;4.69628;92.7875;1.70501
0;93.0243;0;-4.68247;92.7968;-1.74258;4.68247;92.7968;1.74258
0;93.0314;0;-4.66836;92.8064;-1.78004;4.66836;92.8064;1.78004
0;93.0384;0;-4.65395;92.8162;-1.81739;4.65395;92.8162;1.81739
0;93.0454;0;-4.63924;92.8262;-1.85462;4.63924;92.8262;1.85462
0;93.0524;0;-4.62423;92.8364;-1.89173;4.62423;92.8364;1.89173
0;93.0593;0;-4.60892;92.8469;-1.92872;4.60892;92.8469;1.92872
0;93.0662;0;-4.59332;92.8575;-1.96558;4.59332;92.8575;1.96558
0;93.0732;0;-4.57743;92.8684;-2.00232;4.57743;92.8684;2.00232
0;93.08;0;-4.56124;92.8795;-2.03893;4.56124;92.8795;2.03893
0;93.0869;0;-4.54475;92.8908;-2.07541;4.54475;92.8908;2.07541
0;93.0938;0;-4.52798;92.9023;-2.11175;4.52798;92.9023;2.11175
0;93.1006;0;-4.51091;92.914;-2.14796;4.51091;92.914;2.14796
0;93.1074;0;-4.49356;92.9259;-2.18403;4.49356;92.9259;2.18403
0;93.1142;0;-4.47592;92.938;-2.21997;4.47592;92.938;2.21997
0;93.121;0;-4.45799;92.9502;-2.25576;4.45799;92.9502;2.25576
0;93.1277;0;-4.43977;92.9627;-2.2914;4.43977;92.9627;2.2914
0;93.1345;0;-4.42127;92.9752;-2.3269;4.42127;92.9752;2.3269
0;93.1412;0;-4.40248;92.988;-2.36225;4.40248;92.988;2.36225
0;93.1479;0;-4.38341;93.0009;-2.39744;4.38341;93.0009;2.39744
0;93.1546;0;-4.36406;93.014;-2.43248;4.36406;93.014;2.43248
0;93.1613;0;-4.34444;93.0272;-2.46737;4.34444;93.0272;2.46737
0;93.1679;0;-4.32453;93.0406;-2.5021;4.32453;93.0406;2.5021
0;93.1746;0;-4.30434;93.054;-2.53667;4.30434;93.054;2.53667
0;93.1812;0;-4.28388;93.0677;-2.57107;4.28388;93.0677;2.57107
0;93.1879;0;-4.26314;93.0814;-2.60531;4.26314;93.0814;2.60531
0;93.1945;0;-4.24213;93.0952;-2.63938;4.24213;93.0952;2.63938
0;93.2011;0;-4.22085;93.1091;-2.67329;4.22085;93.1091;2.67329
0;93.2077;0;-4.19929;93.1232;-2.70702;4.19929;93.1232;2.70702
0;93.2143;0;-4.17747;93.1373;-2.74058;4.17747;93.1373;2.74058
0;93.2209;0;-4.15538;93.1515;-2.77396;4.15538;93.1515;2.77396
0;93.2274;0;-4.13302;93.1657;-2.80716;4.13302;93.1657;2.80716
0;93.234;0;-4.1104;93.1801;-2.84018;4.1104;93.1801;2.84018
0;93.2406;0;-4.08751;93.1944;-2.87303;4.08751;93.1944;2.87303
0;93.2471;0;-4.06436;93.2089;-2.90568;4.06436;93.2089;2.90568
0;93.2537;0;-4.04095;93.2233;-2.93815;4.04095;93.2233;2.93815
0;93.2602;0;-4.01728;93.2378;-2.97043;4.01728;93.2378;2.97043
0;93.2668;0;-3.99335;93.2524;-3.00253;3.99335;93.2524;3.00253
0;93.2733;0;-3.96917;93.2669;-3.03442;3.96917;93.2669;3.03442
0;93.2799;0;-3.94473;93.2814;-3.06613;3.94473;93.2814;3.06613
0;93.2864;0;-3.92003;93.296;-3.09763;3.92003;93.296;3.09763
0;93.2929;0;-3.89509;93.3105;-3.12894;3.89509;93.3105;3.12894
0;93.2995;0;-3.8699;93.325;-3.16005;3.8699;93.325;3.16005
0;93.306;0;-3.84445;93.3395;-3.19095;3.84445;93.3395;3.19095
0;93.3126;0;-3.81876;93.354;-3.22165;3.81876;93.354;3.22165
0;93.3192;0;-3.79283;93.3684;-3.25214;3.79283;93.3684;3.25214
